Country,Athlete,G,S,B
Bulgaria,Karlos May Nasar,1,0,0
Bulgaria,Semen Sergeevich Novikov,1,0,0
Brazil,Ana Patricia Silva Ramos,1,0,0
Brazil,Eduarda Santos Lisboa,1,0,0
Belgium,Nafissatou Thiam,1,0,0
Azerbaijan,Hidayat Heydarov,1,0,0
Azerbaijan,Zelym Kotsoiev,1,0,0
Austria,Valentin Bontus,1,0,0
Austria,Lukas Maehr,1,0,0
Austria,Lara Vadlau,1,0,0
Australia,Conor Leahy,1,0,0
Australia,Sam Welsford,1,0,0
Australia,Oliver Bleddyn,1,0,0
Australia,Arisa Trew,1,0,0
Australia,Noemie Fox,1,0,0
Australia,Olivia Wunsch,1,0,0
Australia,Jamie Perkins,1,0,0
Australia,Lani Pallister,1,0,0
Australia,Matthew Wearn,1,0,0
Australia,Kelland O'Brien,1,0,0
Australia,Saya Sakakibara,1,0,0
Australia,Nina Kennedy,1,0,0
Australia,Keegan Palmer,1,0,0
Australia,Grace Brown,1,0,0
Australia,John Peers,1,0,0
Australia,Brianna Throssell,1,0,0
Australia,Cameron McEvoy,1,0,0
Australia,Matthew Ebden,1,0,0
Australia,Bronte Campbell,1,0,0
Argentina,Jose Torres Gil,1,0,0
Individual Neutral Athletes,Yauheni Zalaty,0,1,0
Individual Neutral Athletes,Viyaleta Bardzilouskaya,0,1,0
Individual Neutral Athletes,Mirra Andreeva,0,1,0
Individual Neutral Athletes,Diana Shnaider,0,1,0
Kosovo,Distria Krasniqi,0,1,0
Bahrain,Salwa Eid Naser,0,1,0
South Korea,Park Hyejeong,0,1,0
South Korea,Cho Yeongjae,0,1,0
South Korea,Jeong Na Eun,0,1,0
South Korea,Kim Won Ho,0,1,0
South Korea,Park Hajun,0,1,0
South Korea,Keum Jihyeon,0,1,0
South Korea,Kim Yeji,0,1,0
Colombia,Mari Leivis Sanchez,0,1,0
Colombia,Yelson Lopez,0,1,0
Colombia,Angel Barajas,0,1,0
Uganda,Peruth Chemutai,0,1,0
Tunisia,Fares Ferjani,0,1,0
Portugal,Pedro Pichardo,0,1,0
Panama,Atheyna Bibeichi Bylon,0,1,0
Jordan,Zaid Kareem,0,1,0
Ethiopia,Tigst Assefa,0,1,0
Ethiopia,Tsige Duguma,0,1,0
Ethiopia,Berihu Aregawi,0,1,0
Egypt,Sara Ahmed,0,1,0
Ecuador,Lucia Yamileth Yepez Guzman,0,1,0
Ecuador,Glenda Morejon,0,1,0
Cuba,Yusneylis Guzman Lopez,0,1,0
Botswana,Anthony Pesela,0,1,0
Botswana,Busang Collen Kebinatshipi,0,1,0
Botswana,Bayapo Ndori,0,1,0
Serbia,Aleksandra Perisic,0,1,0
Uzbekistan,Javrail Shapiev,0,1,0
Uzbekistan,Svetlana Osipova,0,1,0
Uzbekistan,Akbar Djuraev,0,1,0
United States,Kenneth Rooks,0,1,0
United States,Claire Weinstein,0,1,0
